,geometry,zone_id,origin_count,destination_count
270,"POLYGON ((7.664047794439935 45.07391441112017, 7.670409771599928 45.07391441112017, 7.670409771599928 45.06755243396018, 7.664047794439935 45.06755243396018, 7.664047794439935 45.07391441112017))",270,2456.0,2475.0
299,"POLYGON ((7.670409771599928 45.06755243396018, 7.676771748759921 45.06755243396018, 7.676771748759921 45.06119045680019, 7.670409771599928 45.06119045680019, 7.670409771599928 45.06755243396018))",299,2518.0,2520.0
298,"POLYGON ((7.670409771599928 45.07391441112017, 7.676771748759921 45.07391441112017, 7.676771748759921 45.06755243396018, 7.670409771599928 45.06755243396018, 7.670409771599928 45.07391441112017))",298,2199.0,2204.0
327,"POLYGON ((7.676771748759921 45.06755243396018, 7.683133725919914 45.06755243396018, 7.683133725919914 45.06119045680019, 7.676771748759921 45.06119045680019, 7.676771748759921 45.06755243396018))",327,1877.0,1876.0
383,"POLYGON ((7.689495703079907 45.06755243396018, 7.6958576802399 45.06755243396018, 7.6958576802399 45.06119045680019, 7.689495703079907 45.06119045680019, 7.689495703079907 45.06755243396018))",383,1892.0,1896.0
244,"POLYGON ((7.657685817279942 45.06119045680019, 7.664047794439935 45.06119045680019, 7.664047794439935 45.0548284796402, 7.657685817279942 45.0548284796402, 7.657685817279942 45.06119045680019))",244,1906.0,1903.0
297,"POLYGON ((7.670409771599928 45.08027638828016, 7.676771748759921 45.08027638828016, 7.676771748759921 45.07391441112017, 7.670409771599928 45.07391441112017, 7.670409771599928 45.08027638828016))",297,1718.0,1714.0
355,"POLYGON ((7.683133725919914 45.06755243396018, 7.689495703079907 45.06755243396018, 7.689495703079907 45.06119045680019, 7.683133725919914 45.06119045680019, 7.683133725919914 45.06755243396018))",355,1639.0,1643.0
328,"POLYGON ((7.676771748759921 45.06119045680019, 7.683133725919914 45.06119045680019, 7.683133725919914 45.0548284796402, 7.676771748759921 45.0548284796402, 7.676771748759921 45.06119045680019))",328,1555.0,1564.0
269,"POLYGON ((7.664047794439935 45.08027638828016, 7.670409771599928 45.08027638828016, 7.670409771599928 45.07391441112017, 7.664047794439935 45.07391441112017, 7.664047794439935 45.08027638828016))",269,1606.0,1612.0
326,"POLYGON ((7.676771748759921 45.07391441112017, 7.683133725919914 45.07391441112017, 7.683133725919914 45.06755243396018, 7.676771748759921 45.06755243396018, 7.676771748759921 45.07391441112017))",326,1450.0,1450.0
243,"POLYGON ((7.657685817279942 45.06755243396018, 7.664047794439935 45.06755243396018, 7.664047794439935 45.06119045680019, 7.657685817279942 45.06119045680019, 7.657685817279942 45.06755243396018))",243,1647.0,1651.0
242,"POLYGON ((7.657685817279942 45.07391441112017, 7.664047794439935 45.07391441112017, 7.664047794439935 45.06755243396018, 7.657685817279942 45.06755243396018, 7.657685817279942 45.07391441112017))",242,1453.0,1467.0
215,"POLYGON ((7.651323840119949 45.06755243396018, 7.657685817279942 45.06755243396018, 7.657685817279942 45.06119045680019, 7.651323840119949 45.06119045680019, 7.651323840119949 45.06755243396018))",215,1330.0,1330.0
