,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,28,56,84,112,140,168,196,224,252,280,308,336,364,392,420,448,476,504,532
1,1,29,57,85,113,141,169,197,225,253,281,309,337,365,393,421,449,477,505,533
2,2,30,58,86,114,142,170,198,226,254,282,310,338,366,394,422,450,478,506,534
3,3,31,59,87,115,143,171,199,227,255,283,311,339,367,395,423,451,479,507,535
4,4,32,60,88,116,144,172,200,228,256,284,312,340,368,396,424,452,480,508,536
5,5,33,61,89,117,145,173,201,229,257,285,313,341,369,397,425,453,481,509,537
6,6,34,62,90,118,146,174,202,230,258,286,314,342,370,398,426,454,482,510,538
7,7,35,63,91,119,147,175,203,231,259,287,315,343,371,399,427,455,483,511,539
8,8,36,64,92,120,148,176,204,232,260,288,316,344,372,400,428,456,484,512,540
9,9,37,65,93,121,149,177,205,233,261,289,317,345,373,401,429,457,485,513,541
10,10,38,66,94,122,150,178,206,234,262,290,318,346,374,402,430,458,486,514,542
11,11,39,67,95,123,151,179,207,235,263,291,319,347,375,403,431,459,487,515,543
12,12,40,68,96,124,152,180,208,236,264,292,320,348,376,404,432,460,488,516,544
13,13,41,69,97,125,153,181,209,237,265,293,321,349,377,405,433,461,489,517,545
14,14,42,70,98,126,154,182,210,238,266,294,322,350,378,406,434,462,490,518,546
15,15,43,71,99,127,155,183,211,239,267,295,323,351,379,407,435,463,491,519,547
16,16,44,72,100,128,156,184,212,240,268,296,324,352,380,408,436,464,492,520,548
17,17,45,73,101,129,157,185,213,241,269,297,325,353,381,409,437,465,493,521,549
18,18,46,74,102,130,158,186,214,242,270,298,326,354,382,410,438,466,494,522,550
19,19,47,75,103,131,159,187,215,243,271,299,327,355,383,411,439,467,495,523,551
20,20,48,76,104,132,160,188,216,244,272,300,328,356,384,412,440,468,496,524,552
21,21,49,77,105,133,161,189,217,245,273,301,329,357,385,413,441,469,497,525,553
22,22,50,78,106,134,162,190,218,246,274,302,330,358,386,414,442,470,498,526,554
23,23,51,79,107,135,163,191,219,247,275,303,331,359,387,415,443,471,499,527,555
24,24,52,80,108,136,164,192,220,248,276,304,332,360,388,416,444,472,500,528,556
25,25,53,81,109,137,165,193,221,249,277,305,333,361,389,417,445,473,501,529,557
26,26,54,82,110,138,166,194,222,250,278,306,334,362,390,418,446,474,502,530,558
27,27,55,83,111,139,167,195,223,251,279,307,335,363,391,419,447,475,503,531,559
