,start_time,end_time,duration,start_latitude,start_longitude,end_latitude,end_longitude,driving_distance,start_year,end_year,year,start_month,end_month,month,start_day,end_day,day,start_hour,end_hour,start_weekday,end_weekday,start_daytype,end_daytype,geometry,date,daytype,city,euclidean_distance,hour,random_seconds_start,random_seconds_end,random_seconds_pos,ia_timeout,avg_speed,avg_speed_kmh,origin_id,destination_id,origin_i,origin_j,destination_i,destination_j
1,2019-01-31 19:22:53.515755-05:00,2019-01-31 19:26:49.416523-05:00,235.900768,38.205,-85.757,38.212,-85.756,836.6800000000001,2019,2019,2019,2,2,2,1,1,1,0,0,Thu,Thu,weekday,weekday,"LINESTRING (-85.75700000000001 38.205, -85.756 38.212)",2019-01-31,weekday,Louisville,783.2530446599293,0,-426.4842446403804,-854.6965783059609,235.90076794293844,275.1994,3.5467455536219368,12.768283993038972,86.0,73.0,6.0,5.0,9.0,4.0
2,2019-01-31 19:56:55.796101-05:00,2019-01-31 20:03:39.349090-05:00,403.552989,38.212,-85.759,38.203,-85.766,1432.01,2019,2019,2019,2,2,2,1,1,1,1,1,Thu,Thu,weekday,weekday,"LINESTRING (-85.759 38.212, -85.76600000000001 38.203)",2019-01-31,weekday,Louisville,1172.8547962278872,1,-184.2038994784532,-834.3176684766482,403.5529887038187,2042.280346,3.5485054975023362,12.77461979100841,74.0,74.0,10.0,4.0,10.0,4.0
3,2019-01-31 21:08:39.342144-05:00,2019-01-31 21:13:30.145163-05:00,290.803019,38.226,-85.76,38.227,-85.742,1528.55,2019,2019,2019,2,2,2,1,1,1,2,2,Thu,Thu,weekday,weekday,"LINESTRING (-85.76000000000001 38.226, -85.742 38.227)",2019-01-31,weekday,Louisville,1576.2536954467937,2,-380.6578555790727,-89.85483668949905,236.19846105407328,4303.546043,5.256307191226236,18.922705888414452,68.0,103.0,4.0,4.0,7.0,6.0
4,2019-01-31 23:47:28.820959-05:00,2019-02-01 00:13:37.181079-05:00,1568.36012,38.224,-85.759,38.215,-85.758,1560.73,2019,2019,2019,2,2,2,1,1,1,4,5,Thu,Fri,weekday,weekday,"LINESTRING (-85.759 38.224, -85.758 38.215)",2019-01-31,weekday,Louisville,1004.5601023458732,4,148.82095909455643,817.1810789310771,186.16639922980596,9529.478815,0.9951349693844549,3.5824858897840377,91.0,91.0,11.0,5.0,11.0,5.0
6,2019-02-01 00:05:31.559916-05:00,2019-02-01 00:19:46.547533-05:00,854.987617,38.226,-85.776,38.222,-85.751,2606.5800000000004,2019,2019,2019,2,2,2,1,1,1,5,5,Fri,Fri,weekday,weekday,"LINESTRING (-85.776 38.226, -85.751 38.222)",2019-02-01,weekday,Louisville,2228.695376458036,5,331.55991563180373,286.54753289576934,104.7426661073644,696.636334,3.0486757330428103,10.975232638954116,59.0,75.0,11.0,3.0,11.0,4.0
10,2019-02-01 00:56:10.907989-05:00,2019-02-01 01:03:22.035758-05:00,431.127769,38.228,-85.752,38.219,-85.757,1190.66,2019,2019,2019,2,2,2,1,1,1,6,6,Fri,Fri,weekday,weekday,"LINESTRING (-85.752 38.228, -85.75700000000001 38.219)",2019-02-01,weekday,Louisville,1091.9166794924972,6,-229.09201065576713,-245.6331176533148,431.12776938134346,3039.348073,2.761733494369276,9.942240579729395,75.0,74.0,11.0,4.0,10.0,4.0
8,2019-02-01 01:01:06.931031-05:00,2019-02-01 01:14:53.327431-05:00,826.3964,38.213,-85.757,38.23,-85.763,2123.88,2019,2019,2019,2,2,2,1,1,1,6,6,Fri,Fri,weekday,weekday,"LINESTRING (-85.75700000000001 38.213, -85.76300000000001 38.23)",2019-02-01,weekday,Louisville,1961.635541431367,6,66.93103104588454,893.327431471417,423.53878019083317,14.646481,2.570049917932847,9.25217970455825,74.0,75.0,10.0,4.0,11.0,4.0
15,2019-02-01 01:31:16.068549-05:00,2019-02-01 01:51:23.996056-05:00,1207.927507,38.226,-85.76,38.22,-85.761,627.51,2019,2019,2019,2,2,2,1,1,1,6,7,Fri,Fri,weekday,weekday,"LINESTRING (-85.76000000000001 38.226, -85.761 38.22)",2019-02-01,weekday,Louisville,672.8642047149884,6,-823.9314510895656,-516.0039439707073,17.372819863775817,1364.739298,0.519493095706115,1.870175144542014,74.0,74.0,10.0,4.0,10.0,4.0
12,2019-02-01 01:38:44.315898-05:00,2019-02-01 01:44:38.893871-05:00,354.577973,38.219,-85.754,38.222,-85.763,1721.63,2019,2019,2019,2,2,2,1,1,1,6,6,Fri,Fri,weekday,weekday,"LINESTRING (-85.754 38.219, -85.76300000000001 38.222)",2019-02-01,weekday,Louisville,854.0688578835951,6,524.3158981882962,-21.106129143520207,373.22441808342535,91.576515,4.855434152983891,17.479562950742007,50.0,116.0,2.0,3.0,4.0,7.0
14,2019-02-01 01:47:24.279288-05:00,2019-02-01 02:12:07.811672-05:00,1483.532384,38.23,-85.763,38.243,-85.753,2896.2000000000003,2019,2019,2019,2,2,2,1,1,1,6,7,Fri,Fri,weekday,weekday,"LINESTRING (-85.76300000000001 38.23, -85.753 38.243)",2019-02-01,weekday,Louisville,1688.9011453686342,6,144.27928767760636,727.8116720773519,413.36456934537284,519.96339,1.952232409103919,7.028036672774109,84.0,68.0,4.0,5.0,4.0,4.0
