,geometry,zone_id,origin_count,destination_count,zone_id_origin_count
75,"POLYGON ((-85.76311236302769 38.21953737999515, -85.75739045378461 38.21953737999515, -85.75739045378461 38.21504077817652, -85.76311236302769 38.21504077817652, -85.76311236302769 38.21953737999515))",75,872.0,907,872.0
74,"POLYGON ((-85.76311236302769 38.22403398181377, -85.75739045378461 38.22403398181377, -85.75739045378461 38.21953737999515, -85.76311236302769 38.21953737999515, -85.76311236302769 38.22403398181377))",74,747.0,501,747.0
83,"POLYGON ((-85.75739045378461 38.25551019454413, -85.75166854454153 38.25551019454413, -85.75166854454153 38.25101359272551, -85.75739045378461 38.25101359272551, -85.75739045378461 38.25551019454413))",83,652.0,664,652.0
82,"POLYGON ((-85.75739045378461 38.26000679636275, -85.75166854454153 38.26000679636275, -85.75166854454153 38.25551019454413, -85.75739045378461 38.25551019454413, -85.75739045378461 38.26000679636275))",82,411.0,416,411.0
91,"POLYGON ((-85.75739045378461 38.21953737999515, -85.75166854454153 38.21953737999515, -85.75166854454153 38.21504077817652, -85.75739045378461 38.21504077817652, -85.75739045378461 38.21953737999515))",91,338.0,293,338.0
76,"POLYGON ((-85.76311236302769 38.21504077817652, -85.75739045378461 38.21504077817652, -85.75739045378461 38.2105441763579, -85.76311236302769 38.2105441763579, -85.76311236302769 38.21504077817652))",76,335.0,289,335.0
66,"POLYGON ((-85.76311236302769 38.26000679636275, -85.75739045378461 38.26000679636275, -85.75739045378461 38.25551019454413, -85.76311236302769 38.25551019454413, -85.76311236302769 38.26000679636275))",66,321.0,258,321.0
84,"POLYGON ((-85.75739045378461 38.25101359272551, -85.75166854454153 38.25101359272551, -85.75166854454153 38.24651699090688, -85.75739045378461 38.24651699090688, -85.75739045378461 38.25101359272551))",84,284.0,299,284.0
92,"POLYGON ((-85.75739045378461 38.21504077817652, -85.75166854454153 38.21504077817652, -85.75166854454153 38.2105441763579, -85.75739045378461 38.2105441763579, -85.75739045378461 38.21504077817652))",92,248.0,268,248.0
73,"POLYGON ((-85.76311236302769 38.22853058363239, -85.75739045378461 38.22853058363239, -85.75739045378461 38.22403398181377, -85.76311236302769 38.22403398181377, -85.76311236302769 38.22853058363239))",73,181.0,181,181.0
99,"POLYGON ((-85.75166854454153 38.25551019454413, -85.74594663529845 38.25551019454413, -85.74594663529845 38.25101359272551, -85.75166854454153 38.25101359272551, -85.75166854454153 38.25551019454413))",99,175.0,173,175.0
67,"POLYGON ((-85.76311236302769 38.25551019454413, -85.75739045378461 38.25551019454413, -85.75739045378461 38.25101359272551, -85.76311236302769 38.25101359272551, -85.76311236302769 38.25551019454413))",67,164.0,131,164.0
68,"POLYGON ((-85.76311236302769 38.25101359272551, -85.75739045378461 38.25101359272551, -85.75739045378461 38.24651699090688, -85.76311236302769 38.24651699090688, -85.76311236302769 38.25101359272551))",68,148.0,140,148.0
58,"POLYGON ((-85.76883427227077 38.22403398181377, -85.76311236302769 38.22403398181377, -85.76311236302769 38.21953737999515, -85.76883427227077 38.21953737999515, -85.76883427227077 38.22403398181377))",58,123.0,210,123.0
90,"POLYGON ((-85.75739045378461 38.22403398181377, -85.75166854454153 38.22403398181377, -85.75166854454153 38.21953737999515, -85.75739045378461 38.21953737999515, -85.75739045378461 38.22403398181377))",90,110.0,96,110.0
98,"POLYGON ((-85.75166854454153 38.26000679636275, -85.74594663529845 38.26000679636275, -85.74594663529845 38.25551019454413, -85.75166854454153 38.25551019454413, -85.75166854454153 38.26000679636275))",98,110.0,116,110.0
